GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CinemaManagerApi,com.rabbiter.cm.shiro,JwtFilter,70,8,2,0,18,2,4,1,3,1
CinemaManagerApi,com.rabbiter.cm.shiro,JwtToken,12,0,0,0,5,0,3,0,3,0
CinemaManagerApi,com.rabbiter.cm.controller,SysMovieController,76,3,4,0,13,1,8,1,6,1
CinemaManagerApi,com.rabbiter.cm.controller,SysRoleController,46,3,0,0,8,1,6,1,6,1
CinemaManagerApi,com.rabbiter.cm.controller,BaseController,61,3,6,0,14,1,7,1,4,1
CinemaManagerApi,com.rabbiter.cm.controller,SysSessionController,49,3,0,0,9,1,6,1,6,1
CinemaManagerApi,com.rabbiter.cm.controller,SysBillController,210,3,18,0,41,1,15,1,6,1
CinemaManagerApi,com.rabbiter.cm.controller,FileUploadController,124,8,2,0,23,2,6,1,5,1
CinemaManagerApi,com.rabbiter.cm.controller,SysUserController,73,3,0,0,14,1,7,1,7,1
CinemaManagerApi,com.rabbiter.cm.controller,SysCinemaController,72,3,10,0,12,1,8,1,3,1
CinemaManagerApi,com.rabbiter.cm.controller,SysResourceController,50,3,0,0,9,1,7,1,7,1
CinemaManagerApi,com.rabbiter.cm.controller,SysHallController,46,3,0,0,9,1,5,1,5,1
CinemaManagerApi,com.rabbiter.cm.controller,SysMovieCategoryController,60,3,0,0,9,1,7,1,7,1
CinemaManagerApi,com.rabbiter.cm,CinemaManagerApplication,15,3,0,0,3,1,1,1,1,1
CinemaManagerApi,com.rabbiter.cm.common.constant,HttpStatus,3,0,0,0,1,0,1,0,1,0
CinemaManagerApi,com.rabbiter.cm.common.constant,MovieRankingList,19,0,0,0,6,0,2,0,2,0
CinemaManagerApi,com.rabbiter.cm.shiro.realms,CustomerRealm,71,8,6,0,19,2,6,1,3,1
CinemaManagerApi,com.rabbiter.cm.common.file,FileUploadUtils,257,0,24,0,56,0,26,0,14,0
CinemaManagerApi,com.rabbiter.cm.common.file,MimeTypeUtils,70,0,6,0,10,0,8,0,3,0
CinemaManagerApi,com.rabbiter.cm.common.utils,ApplicationContextUtils,4,6,0,0,1,3,1,2,1,2
CinemaManagerApi,com.rabbiter.cm.common.utils,SessionSeatsUtil,131,0,2,0,19,0,6,0,5,0
CinemaManagerApi,com.rabbiter.cm.common.utils,SaltUtils,8,30,0,2,3,6,2,2,2,1
CinemaManagerApi,com.rabbiter.cm.common.utils,StringUtil,64,0,12,0,9,0,9,0,3,0
CinemaManagerApi,com.rabbiter.cm.common.utils,ServletUtil,15,0,0,0,5,0,5,0,5,0
CinemaManagerApi,com.rabbiter.cm.common.utils,CancelTimeoutBillUtil,186,17,4,0,33,7,7,2,5,2
CinemaManagerApi,com.rabbiter.cm.common.utils,PathUtils,47,33,7,1,8,7,5,1,1,1
CinemaManagerApi,com.rabbiter.cm.common.utils,JwtUtil,77,0,0,0,25,0,6,0,6,0
CinemaManagerApi,com.rabbiter.cm.common.response,ResponseResult,77,0,2,0,20,0,12,0,11,0
CinemaManagerApi,com.rabbiter.cm.common.exception,FileSizeLimitExceededException,7,0,0,0,4,0,2,0,2,0
CinemaManagerApi,com.rabbiter.cm.common.exception,FileNameLengthLimitExceededException,7,0,0,0,4,0,2,0,2,0
CinemaManagerApi,com.rabbiter.cm.common.exception,GlobalExceptionHandler,56,3,14,0,16,1,8,1,1,1
CinemaManagerApi,com.rabbiter.cm.common.exception,DataNotFoundException,7,0,0,0,4,0,2,0,2,0
CinemaManagerApi,com.rabbiter.cm.common.exception,InvalidExtensionException,7,0,0,0,4,0,2,0,2,0
CinemaManagerApi,com.rabbiter.cm.common.page,PageBuilder,46,0,4,0,12,0,4,0,2,0
CinemaManagerApi,com.rabbiter.cm.common.page,Page,61,0,4,0,19,0,11,0,9,0
CinemaManagerApi,com.rabbiter.cm.service.impl,SysBillServiceImpl,0,61,0,4,0,11,0,9,0,7
CinemaManagerApi,com.rabbiter.cm.service.impl,SysHallServiceImpl,0,50,0,2,0,9,0,7,0,6
CinemaManagerApi,com.rabbiter.cm.service.impl,SysRoleServiceImpl,0,113,0,8,0,19,0,11,0,7
CinemaManagerApi,com.rabbiter.cm.service.impl,SysSessionServiceImpl,0,65,0,2,0,12,0,10,0,9
CinemaManagerApi,com.rabbiter.cm.service.impl,SysResourceServiceImpl,0,119,2,8,0,23,2,11,0,8
CinemaManagerApi,com.rabbiter.cm.service.impl,SysMovieServiceImpl,0,67,0,2,0,13,0,11,0,10
CinemaManagerApi,com.rabbiter.cm.service.impl,SysUserServiceImpl,20,192,1,17,5,38,2,17,1,9
CinemaManagerApi,com.rabbiter.cm.service.impl,SysMovieCategoryServiceImpl,0,59,0,2,0,11,0,9,0,8
CinemaManagerApi,com.rabbiter.cm.service.impl,SysCinemaServiceImpl,0,17,0,0,0,4,0,4,0,4
CinemaManagerApi,com.rabbiter.cm.domain.vo,SysUserVo,30,17,0,0,5,8,2,5,2,5
CinemaManagerApi,com.rabbiter.cm.domain.vo,SysMovieVo,169,3,16,0,28,2,22,1,14,1
CinemaManagerApi,com.rabbiter.cm.domain.vo,SysBillVo,45,0,0,0,13,0,7,0,7,0
CinemaManagerApi,com.rabbiter.cm.domain.vo,SysSessionVo,55,3,0,0,15,2,8,1,8,1
CinemaManagerApi,com.rabbiter.cm.common.config,QuartzConfig.new QuartzJobBean() {...},23,6,0,0,4,1,1,1,1,1
CinemaManagerApi,com.rabbiter.cm.common.config,QuartzConfig,0,28,0,0,0,9,0,3,0,3
CinemaManagerApi,com.rabbiter.cm.common.config,CorsConfig,0,71,0,0,0,14,0,3,0,3
CinemaManagerApi,com.rabbiter.cm.common.config,ShiroConfig,0,111,0,0,0,28,0,4,0,4
CinemaManagerApi,com.rabbiter.cm.common.config,DataSourceConfiguration,0,42,0,0,0,12,0,2,0,2
CinemaManagerApi,com.rabbiter.cm.common.config,CustomExceptionSorter,5,3,0,0,3,1,2,1,2,1
CinemaManagerApi,com.rabbiter.cm.common.config,ApplicationConfiguration,0,3,0,0,0,1,0,1,0,1
CinemaManagerApi,com.rabbiter.cm.domain,SysResource,150,78,20,0,24,15,20,10,10,10
CinemaManagerApi,com.rabbiter.cm.domain,SysMovieCategory,78,14,10,0,11,7,10,4,5,4
CinemaManagerApi,com.rabbiter.cm.domain,SysCinema,255,35,24,0,32,15,26,10,14,10
CinemaManagerApi,com.rabbiter.cm.domain,SysRole,128,22,14,0,17,10,15,6,8,6
CinemaManagerApi,com.rabbiter.cm.domain,SysBill,401,37,35,1,56,15,44,10,26,10
CinemaManagerApi,com.rabbiter.cm.domain,LoginUser,146,0,14,0,26,0,20,0,13,0
CinemaManagerApi,com.rabbiter.cm.domain,SysHall,286,50,28,0,33,22,28,14,14,14
CinemaManagerApi,com.rabbiter.cm.domain,SysMovie,282,26,26,0,37,13,31,7,18,7
CinemaManagerApi,com.rabbiter.cm.domain,SysMovieToCategory,79,15,10,0,12,7,11,4,6,4
CinemaManagerApi,com.rabbiter.cm.domain,SysSession,422,22,36,0,61,10,48,6,30,6
CinemaManagerApi,com.rabbiter.cm.domain,SysUser,335,35,30,0,44,15,35,10,20,10
